Product,Status,Type,Category,Is Service,Bundle,JT,eShop,driving range per hour of charge (KMs),x hours to charge from 20-80%,Product Warrenty (Years),Based On i.e. (Based on a typical EV (Tesla Model Y)),Tethered,Sale Price,revcharge Ecomm Live Link,Phases,Smart Solar,Vehicle to Grid/Home,Output,Tethered Cable,Screen,Wifi,Bluetooth,Internet,App,Smart Watch,Scheduled Charging,Power Sharing,OCPP compliant,Warranty,Height mm,Width mm,Depth mm,Weight,Outdoor,NOTES,COLOURS
Wallbox Pulsar Max 22kW with Solar (7m),Active,Physical,Charger,FALSE,TRUE,,,66km,4,5,Based on a typical EV (Tesla Model Y),TRUE,1849,www.revcharge.com.au/product/wallbox-pulsar-max-22kw,n/a,n/a,n/a,22kW,7m,x,Wifi,BT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Black
Zappi 2.1 - 7.4kw Tethered (6.5m),Active,Physical,Core Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),,1409,https://revcharge.com.au/product/zappi-7-2kw-tethered-charger,Single,YES,x,7.2kW,6.5m,"2"" LCD",Wifi,n/a,Yes,Yes,n/a,n/a,Yes (Add. Device),n/a,3 years,439,285,122,5.5kg,IP65 (YES),n/a,White
Zappi 2.1 - 7.4kw Tethered with Solar (6.5m),Active,Physical,Charger,FALSE,TRUE,,,38km,7,3,Based on a typical EV (Tesla Model Y),,1409,https://revcharge.com.au/product/zappi-7-2kw-tethered-charger,Single,YES,x,7.2kW,6.5m,"2"" LCD",Wifi,n/a,Yes,Yes,n/a,n/a,Yes (Add. Device),n/a,3 years,439,285,122,5.5kg,IP65 (YES),Requires 1x extra CT,White
Zappi 2.1 - 7.4kw Untethered,Active,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),,1389,https://revcharge.com.au/product/zappi-7-2kw-untethered-charger,Single,YES,x,7.2kW,x,"2"" LCD",Wifi,n/a,Yes,Yes,n/a,n/a,Yes (Add. Device),n/a,3 years,439,282,122,3kg,IP65 (YES),n/a,White
Zappi 2.1 - 7.4kw Untethered with Solar,Active,Physical,Charger,FALSE,TRUE,,,38km,7,3,Based on a typical EV (Tesla Model Y),,1389,https://revcharge.com.au/product/zappi-7-2kw-untethered-charger,Single,YES,x,7.2kW,x,"2"" LCD",Wifi,n/a,Yes,Yes,n/a,n/a,Yes (Add. Device),n/a,3 years,439,282,122,3kg,IP65 (YES),Requires 1x extra CT,White
Zappi 2.1 - 22kW Tethered (6.5m),Active,Physical,Charger,FALSE,FALSE,,,66km,4,3,Based on a typical EV (Tesla Model Y),,1409,https://revcharge.com.au/product/zappi-22kw-tethered-charger,Single and 3 Phase,YES,x,22kW,6.5m,"2"" LCD",Wifi,n/a,Yes,Yes,n/a,n/a,Yes (Add. Device),n/a,3 years,439,285,122,7.2kg,IP65 (YES),n/a,White
Zappi 2.1 - 22kW Tethered with Solar (6.5m),Active,Physical,Charger,FALSE,TRUE,,,66km,4,3,Based on a typical EV (Tesla Model Y),,1409,https://revcharge.com.au/product/zappi-22kw-tethered-charger,Single and 3 Phase,YES,x,22kW,6.5m,"2"" LCD",Wifi,n/a,Yes,Yes,n/a,n/a,Yes (Add. Device),n/a,3 years,439,285,122,7.2kg,IP65 (YES),Requires 3x extra CTs and 1x Harvi,n/a
Zappi 2.1 - 22kW Untethered,Active,Physical,Charger,FALSE,FALSE,,,66km,4,3,Based on a typical EV (Tesla Model Y),FALSE,1389,https://revcharge.com.au/product/zappi-22kw-untethered-charger,Single and 3 Phase,YES,x,22kW,x,"2"" LCD",Wifi,n/a,Yes,Yes,n/a,n/a,Yes (Add. Device),n/a,3 years,439,282,122,3.3kg,IP65 (YES),n/a,n/a
Zappi 2.1 - 22kW Untethered with Solar,Active,Physical,Charger,FALSE,TRUE,,,66km,4,3,Based on a typical EV (Tesla Model Y),,1389,https://revcharge.com.au/product/zappi-22kw-untethered-charger,Single and 3 Phase,YES,x,22kW,x,"2"" LCD",Wifi,n/a,Yes,Yes,n/a,n/a,Yes (Add. Device),n/a,3 years,439,282,122,3.3kg,IP65 (YES),Requires 3x extra CTs and 1x Harvi,White
Myenergi Hub,,Physical,Electrical Equipment,FALSE,FALSE,,,,,,,,174.999,Through MyEnergi Reseller,,,,,,,,,,,,,,,,,,,,,,
Myenergi Harvi,,Physical,Electrical Equipment,FALSE,FALSE,,,,,,,,174.999,Through MyEnergi Reseller,,,,,,,,,,,,,,,,,,,,,,
Myenergi CT clamp,,Physical,Electrical Equipment,FALSE,FALSE,,,,,,,,49.005,Through MyEnergi Reseller,,,,,,,,,,,,,,,,,,,,,,
Ohme ePod 7.4kW Untethered,Active,Physical,Core Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1155,https://www.revcharge.com.au/product/ohme-epod-7-4kw,1 Phase,YES,x,7.4kW,No - Untethered Only,No - Buttons Though,Wifi,No,Internet,Yes,Yes,Yes,No.,Yes,2 years,230,140,100,1.9kg,IP54,Yes,Black
Ohme Home Pro 7.4kW (5m),Active,Physical,Core Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1395,https://www.revcharge.com.au/product/ohme-home-pro-7-4kw-5m,n/a,n/a,n/a,7.4kW,5m,Yes,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Ohme Home Pro 7.4kW (8m),Active,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,n/a,n/a,n/a,n/a,7.4kW,8m,Yes,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hypervolt Home 3 Pro - Black (5m),,Physical,Core Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,https://www.revcharge.com.au/product/hypervolt-home-3-pro,n/a,YES,n/a,7.4kW,5m,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hypervolt Home 3 Pro - Black (7.5m),,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,https://www.revcharge.com.au/product/hypervolt-home-3-pro,n/a,YES,n/a,7.4kW,7.5m,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hypervolt Home 3 Pro - Black (10m),,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,https://www.revcharge.com.au/product/hypervolt-home-3-pro,n/a,YES,n/a,7.4kW,10m,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hypervolt Home 3 Pro - Space Grey (5m),,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,https://www.revcharge.com.au/product/hypervolt-home-3-pro,n/a,YES,n/a,7.4kW,5m,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hypervolt Home 3 Pro - Space Grey (7.5m),,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,https://www.revcharge.com.au/product/hypervolt-home-3-pro,n/a,YES,n/a,7.4kW,7.5m,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hypervolt Home 3 Pro - Space Grey (10m),,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,https://www.revcharge.com.au/product/hypervolt-home-3-pro,n/a,YES,n/a,7.4kW,10m,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hypervolt Home 3 Pro - White (5m),,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,https://www.revcharge.com.au/product/hypervolt-home-3-pro,n/a,YES,n/a,7.4kW,5m,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hypervolt Home 3 Pro - White (7.5m),,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,https://www.revcharge.com.au/product/hypervolt-home-3-pro,n/a,YES,n/a,7.4kW,7.5m,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Hypervolt Home 3 Pro - White (10m),,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,https://www.revcharge.com.au/product/hypervolt-home-3-pro,n/a,YES,n/a,7.4kW,10m,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wallbox Pulsar Pro 7.4kW (5m),Active,Physical,Core Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1495,n/a,n/a,n/a,n/a,7.4kW,5m,x,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wallbox Pulsar Pro 22kW (5m),Active,Physical,Charger,FALSE,FALSE,,,66km,4,3,Based on a typical EV (Tesla Model Y),TRUE,1495,n/a,n/a,n/a,n/a,n/a,5m,x,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Geely Wallbox 7kW,,Physical,Charger,FALSE,FALSE,,,38km,7,,Based on a typical EV (Tesla Model Y),TRUE,,n/a,n/a,n/a,n/a,7.4kW,5m,x,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Geely Wallbox 7kW,,Physical,Charger,FALSE,FALSE,,,38km,7,,Based on a typical EV (Tesla Model Y),TRUE,,n/a,n/a,n/a,n/a,7.4kW,5m,x,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Geely Wallbox 7kW,,Physical,Charger,FALSE,FALSE,,,38km,7,,Based on a typical EV (Tesla Model Y),TRUE,,n/a,n/a,n/a,n/a,7.4kW,5m,x,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Halo IEC 7.4kW BD DC wallbox,Active,Physical,Bi Directional Charger,FALSE,TRUE,,,38km,7,2,Based on a typical EV (Tesla Model Y),,5901.5,,Single,YES,Y,7.4kW,5m,,,,,,,,,,,,,,,,,
Tesla Gen 3 Wall Connector (7.3m),Active,Physical,Charger,FALSE,FALSE,,,,,,Based on a typical EV (Tesla Model Y),TRUE,,https://revcharge.com.au/product/tesla-gen-3-wall-connector,Single and 3 Phase,x,x,22kW,7.3m,x,Updates,BT,x,YES,x,n/a,Yes,n/a,2 years,345,155,110,6.8 kg,IP55 (YES),,White
Tesla Powerwall 3,,Physical,Battery,FALSE,TRUE,,,,,,Based on a typical EV (Tesla Model Y),TRUE,13300,https://www.revcharge.com.au/product/tesla-powerwall-3,n/a,n/a,n/a,n/a,/,x,Wifi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wallbox Pulsar Plus 7.4kW (5m),Active,Physical,Core Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1299,https://revcharge.com.au/product/wallbox-pulsar-plus-7-2kw,Single,YES (ADD-ON),x,7.4kW,5m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes,n/a,3 Years,166,163,82,3.24kg,IP54,,Black
Wallbox Pulsar Plus 7.4kW (7m),Active,Physical,Charger,FALSE,FALSE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1449,https://revcharge.com.au/product/wallbox-pulsar-plus-7-2kw,Single,YES,x,7.4kW,7m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes ,n/a,2 years,166,163,82,n/a,IP54,n/a,Black
Wallbox Pulsar Plus 7.4kw with Solar (5m),Active,Physical,Charger,FALSE,TRUE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1481,https://revcharge.com.au/product/wallbox-pulsar-plus-7-2kw,Single,YES (ADD-ON),x,7.4kW,5m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes,n/a,3 Years,166,163,82,3.24kg,IP54,,Black
Wallbox Pulsar Plus 7.4kW with Solar (7m),Active,Physical,Charger,FALSE,TRUE,,,38km,7,3,Based on a typical EV (Tesla Model Y),TRUE,1629,https://revcharge.com.au/product/wallbox-pulsar-plus-7-2kw,Single,YES,x,7.4kW,7m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes,n/a,2 years,166,163,82,n/a,IP54,n/a,Black
Wallbox Pulsar Plus 22kW (5m),Active,Physical,Charger,FALSE,FALSE,,,66km,4,3,Based on a typical EV (Tesla Model Y),TRUE,1399,https://revcharge.com.au/product/wallbox-pulsar-plus-22kw,3 Phase,YES (ADD-ON),x,22kW,5m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes (Add. Device),n/a,2 years,166,163,82,4.3kg,IP54,,Black
Wallbox Pulsar Plus 22kW (7m),Active,Physical,Charger,FALSE,FALSE,,,66km,4,3,Based on a typical EV (Tesla Model Y),TRUE,1549,https://revcharge.com.au/product/wallbox-pulsar-plus-22kw,3 Phase,YES,x,22kW,7m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes (Add. Device),n/a,2 years,166,163,82,n/a,IP54,n/a,Black
Wallbox Pulsar Plus 22kW with Solar (5m),Active,Physical,Charger,FALSE,TRUE,,,66km,4,3,Based on a typical EV (Tesla Model Y),TRUE,1674,https://revcharge.com.au/product/wallbox-pulsar-plus-22kw,3 Phase,YES (ADD-ON),x,22kW,5m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes (Add. Device),n/a,2 years,166,163,82,4.3kg,IP54,,Black
Wallbox Pulsar Plus 22kW with Solar (7m),Active,Physical,Charger,FALSE,TRUE,,,66km,4,3,Based on a typical EV (Tesla Model Y),TRUE,1849,https://revcharge.com.au/product/wallbox-pulsar-plus-22kw,3 Phase,YES,x,22kW,7m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes (Add. Device),n/a,2 years,166,163,82,n/a,IP54,n/a,Black
Wallbox Pulsar Plus Socket (7.4kW and 22kW),Active,Physical,Charger,FALSE,TRUE,,,66km,4,3,Based on a typical EV (Tesla Model Y),TRUE,1249,https://revcharge.com.au/product/wallbox-pulsar-plus-7-2kw,Single,YES,x,7.4kW,7m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes ,n/a,2 years,166,163,82,n/a,IP54,n/a,Black
Wallbox Pulsar Plus Socket (7.4kW) with Solar,Active,Physical,Charger,FALSE,TRUE,,,66km,4,3,Based on a typical EV (Tesla Model Y),TRUE,1431,https://revcharge.com.au/product/wallbox-pulsar-plus-7-2kw,Single,YES,x,7.4kW,7m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes,n/a,2 years,166,163,82,n/a,IP54,n/a,Black
Wallbox Pulsar Plus Socket (22kW) with Solar,Active,Physical,Charger,FALSE,TRUE,,,66km,4,3,Based on a typical EV (Tesla Model Y),TRUE,1624,https://revcharge.com.au/product/wallbox-pulsar-plus-22kw,3 Phase,YES,x,22kW,7m,x,Wifi,BT,Internet,Yes,Yes,Yes,Yes (Add. Device),n/a,2 years,166,163,82,n/a,IP54,n/a,Black
Single Phase 5m Cable,,Physical,Cable,FALSE,FALSE,,,,,,,,240.79,,,,,,,,,,,,,,,,,,,,,,,
Three Phase 5m Cable,,Physical,Cable,FALSE,FALSE,,,,,,,,271.645,,,,,,,,,,,,,,,,,,,,,,,
Single Phase 7m Cable,,Physical,Cable,FALSE,FALSE,,,,,,,,325.49,,,,,,,,,,,,,,,,,,,,,,,
Three Phase 7m Cable,,Physical,Cable,FALSE,FALSE,,,,,,,,368.445,,,,,,,,,,,,,,,,,,,,,,,
Single Phase 10m Cable,,Physical,Cable,FALSE,FALSE,,,,,,,,332.145,,,,,,,,,,,,,,,,,,,,,,,
Three Phase 10m Cable,,Physical,Cable,FALSE,FALSE,,,,,,,,489.445,,,,,,,,,,,,,,,,,,,,,,,
Voltex 1ph Isolators,,Physical,Electrical Equipment,FALSE,FALSE,,,,,,,,19.184,https://www.voltexelectrical.com.au/p-1434-isolating-switch-ip66-35a-1-pole.aspx,,,,,,,,,,,,,,,,,,,,,,
Voltex 3ph Isolators,,Physical,Electrical Equipment,FALSE,FALSE,,,,,,,,26.4,https://www.voltexelectrical.com.au/p-1438-isolating-switch-ip66-63a-3-pole.aspx,,,,,,,,,,,,,,,,,,,,,,
Voltex 1ph 32A RCBOs,,Physical,Electrical Equipment,FALSE,FALSE,,,,,,,,36.608,https://www.voltexelectrical.com.au/p-4060-uniline-single-module-rcbo-1-pole-6ka-c-curve-30ma-with-neutral-lead.aspx,,,,,,,,,,,,,,,,,,,,,,
QCE 3ph 32A RCBOs,,Physical,Electrical Equipment,FALSE,FALSE,,,,,,,,99,https://www.mjselectricalsupplies.com.au/qce-3-phase-rcbo-4-pole-6ka,,,,,,,,,,,,,,,,,,,,,,
EV Charging Labels,,Physical,Electrical Equipment,FALSE,FALSE,,,,,,,,27.5,https://www.makeyourmarkengraving.com.au/product/395/,,,,,,,,,,,,,,,,,,,,,,
Single-Phase / Single-Storey / 0-5m,,,,,,,,,,,,,867.13,,,,,,,,,,,,,,,,,,,,,,,
Single-Phase / Single-Storey / 6-10m,,,,,,,,,,,,,981.101,,,,,,,,,,,,,,,,,,,,,,,
Single-Phase / Single-Storey / 11-20m,,,,,,,,,,,,,981.101,,,,,,,,,,,,,,,,,,,,,,,
Single-Phase / Single-Storey / 21m+,,,,,,,,,,,,,1272.865,,,,,,,,,,,,,,,,,,,,,,,
Single-Phase / Multi-Storey / 0-5m,,,,,,,,,,,,,1545.115,,,,,,,,,,,,,,,,,,,,,,,
Single-Phase / Multi-Storey / 6-10m,,,,,,,,,,,,,1545.115,,,,,,,,,,,,,,,,,,,,,,,
Single-Phase / Multi-Storey / 11-20m,,,,,,,,,,,,,1545.115,,,,,,,,,,,,,,,,,,,,,,,
Single-Phase / Multi-Storey / 21m+,,,,,,,,,,,,,1545.115,,,,,,,,,,,,,,,,,,,,,,,
Three-Phase / Single-Storey / 0-5m,,,,,,,,,,,,,980.683,,,,,,,,,,,,,,,,,,,,,,,
Three-Phase / Single-Storey / 6-10m,,,,,,,,,,,,,1083.071,,,,,,,,,,,,,,,,,,,,,,,
Three-Phase / Single-Storey / 11-20m,,,,,,,,,,,,,1293.919,,,,,,,,,,,,,,,,,,,,,,,
Three-Phase / Single-Storey / 21m+,,,,,,,,,,,,,1559.206,,,,,,,,,,,,,,,,,,,,,,,
Three-Phase / Multi-Storey / 0-5m,,,,,,,,,,,,,1831.456,,,,,,,,,,,,,,,,,,,,,,,
Three-Phase / Multi-Storey / 6-10m,,,,,,,,,,,,,1831.456,,,,,,,,,,,,,,,,,,,,,,,
Three-Phase / Multi-Storey / 11-20m,,,,,,,,,,,,,1831.456,,,,,,,,,,,,,,,,,,,,,,,
Three-Phase / Multi-Storey / 21m+,,,,,,,,,,,,,1831.456,,,,,,,,,,,,,,,,,,,,,,,
Delta AC Max Smart 7/22kW 5M Type 2,,Physical,Charger,FALSE,TRUE,,,38-66km,46119,2,,TRUE,1235,,Single and 3 Phase,Smart and no solar,x,7kw - 22kW,5m,x,wifi,BT,Internet,Yes,n/a,Yes,,n/a,3 Years,371,218,167,6,IP55,n/a,n/a
